timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid
1713786077271,200,-1405,-3.087158203125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077271,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077271,200,-1532,-3.3662109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077271,200,53,1.1645507812500002E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077272,200,1562,3.43212890625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077272,200,1035,2.274169921875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077272,200,-668,-1.4677734375000002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077272,200,-292,-6.416015625000001E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077272,200,1657,3.6408691406249996E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077273,200,1415,3.109130859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077273,200,-406,-8.920898437500001E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077273,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077273,200,-2116,-4.6494140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077274,200,-498,-1.09423828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077274,200,1302,2.86083984375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077274,200,1226,2.6938476562500004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077274,200,-533,-1.171142578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077274,200,-776,-1.705078125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077274,200,966,2.12255859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077275,200,1885,4.141845703125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077275,200,197,4.32861328125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077275,200,-2135,-4.691162109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077404,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,-1341,-2.946533203125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,439,9.64599609375E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,1639,3.601318359375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,378,8.3056640625E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,-685,-1.505126953125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,470,1.03271484375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,1671,3.671630859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,1140,2.5048828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,-1606,-3.52880859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077422,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,-1509,-3.315673828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,112,2.4609375E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,1561,3.429931640625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,665,1.461181640625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,-693,-1.522705078125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,112,2.4609375E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,1504,3.3046875000000003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,1637,3.596923828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,-789,-1.7336425781250002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,-2075,-4.559326171875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077423,200,-404,-8.876953125000001E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,1347,2.959716796875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,1184,2.6015625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,-546,-1.1997070312500001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,-635,-1.395263671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,1348,2.9619140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,1701,3.7375488281250004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,165,3.62548828125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,-2047,-4.497802734375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,-1292,-2.8388671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,844,1.8544921875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,1650,3.62548828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077424,200,-30,-6.591796875E-6,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,-731,-1.6062011718749998E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,490,1.07666015625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,1882,4.13525390625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,704,1.546875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,-1490,-3.27392578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,-1653,-3.632080078125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,259,5.69091796875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077425,200,1618,3.55517578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,827,1.8171386718750002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,-723,-1.5886230468750001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,-43,-9.448242187500001E-6,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,1811,3.9792480468750003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,1568,3.4453125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,-730,-1.60400390625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077426,200,-1750,-3.84521484375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077435,200,-556,-1.2216796875000002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,1153,2.533447265625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,1339,2.942138671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,-428,-9.404296875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,-590,-1.29638671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,1178,2.58837890625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,1834,4.02978515625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,75,1.64794921875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,-2043,-4.489013671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,-1107,-2.4323730468750002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,704,1.546875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,1605,3.526611328125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077436,200,103,2.26318359375E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,-645,-1.417236328125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,689,1.513916015625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,1682,3.69580078125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,865,1.900634765625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,-1867,-4.102294921875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,-1543,-3.390380859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,151,3.31787109375E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,1625,3.570556640625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077437,200,416,9.140625E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077452,200,-750,-1.64794921875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077452,200,363,7.97607421875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077452,200,1878,4.1264648437500004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077452,200,1212,2.6630859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077452,200,-903,-1.9841308593750002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-1698,-3.73095703125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-194,-4.2626953125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,1221,2.682861328125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,985,2.164306640625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-504,-1.107421875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-185,-4.06494140625E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,1548,3.4013671875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,1794,3.94189453125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-329,-7.229003906250001E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-1994,-4.3813476562500005E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077453,200,-1025,-2.252197265625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077454,200,761,1.672119140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077454,200,1276,2.8037109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077454,200,-277,-6.0864257812500005E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077454,200,-803,-1.764404296875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077454,200,1106,2.43017578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077455,200,1696,3.7265625000000005E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077455,200,507,1.1140136718750001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077455,200,-1681,-3.6936035156250003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077476,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077486,200,-1188,-2.6103515625000004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077486,200,539,1.1843261718750001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077486,200,1411,3.100341796875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077486,200,570,1.25244140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,-755,-1.658935546875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,216,4.7460937500000004E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,1877,4.124267578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,1324,2.9091796875000005E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,-1341,-2.946533203125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077487,200,-1886,-4.14404296875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077488,200,-313,-6.87744140625E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077488,200,1570,3.44970703125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077488,200,1112,2.4433593750000003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077488,200,-887,-1.9489746093750003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077488,200,-341,-7.492675781250002E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077488,200,1661,3.6496582031250003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,1490,3.27392578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,-549,-1.2062988281250001E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,-1934,-4.2495117187500004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,-877,-1.9270019531250003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,1137,2.498291015625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077489,200,1227,2.696044921875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077490,200,-145,-3.18603515625E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077490,200,-508,-1.1162109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077513,200,918,2.01708984375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077513,200,1894,4.1616210937500003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077514,200,519,1.140380859375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077520,200,-2069,-4.546142578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077520,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077520,200,-1354,-2.9750976562500003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
